price,min_to_metro,total_area,living_area,floor,number_of_floors,construction_year,ceiling_height,number_of_rooms,CAR,EAR,NAR,NEAR,NWAR,SAR,SEAR,SWAR,WAR
38465513.0,13.0,85.8,36.6,22.0,25.0,2022.0,3.02,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32587200.0,12.0,74.4,55.8,4.0,37.0,2024.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31350680.0,19.0,70.1,32.7,16.0,21.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24520932.0,24.0,63.7,25.8,3.0,21.0,2023.0,2.74,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21225600.0,14.0,53.6,26.3,21.0,21.0,2023.0,2.62,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50820000.0,28.0,72.9,27.9,12.0,13.0,2023.0,3.58,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46855074.0,13.0,74.2,35.1,23.0,32.0,2021.0,3.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29200000.0,14.0,65.3,28.6,36.0,41.0,2018.0,3.2,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34510079.0,6.0,63.0,31.3,11.0,28.0,2022.0,3.12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31073840.0,19.0,63.2,29.7,22.0,22.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28436974.0,17.0,60.0,29.5,16.0,16.0,2024.0,3.02,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18343212.0,9.0,44.79,30.1,18.0,30.0,2023.0,3.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21809958.0,30.0,52.6,20.8,11.0,34.0,2023.0,2.62,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20069280.0,12.0,54.3,20.2,20.0,21.0,2023.0,2.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26978000.0,12.0,57.4,43.1,11.0,37.0,2024.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34001079.0,23.0,73.3,36.2,3.0,11.0,2024.0,3.1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
42700000.0,27.0,68.2,25.9,11.0,13.0,2023.0,3.13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24520188.0,9.0,66.0,20.7,7.0,21.0,2023.0,2.74,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38335900.0,12.0,73.3,32.6,13.0,21.0,2023.0,3.1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
31729560.0,19.0,69.7,29.3,22.0,22.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
27670000.0,5.0,48.3,25.3,17.0,30.0,2024.0,3.2,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37950043.0,7.0,59.3,25.7,18.0,22.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26864572.0,4.0,64.52,33.1,45.0,52.0,2024.0,2.85,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19080360.0,11.0,48.6,21.7,28.0,33.0,2023.0,2.62,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20607312.0,30.0,51.3,20.7,25.0,33.0,2023.0,2.62,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20398240.0,4.0,55.43,27.2,19.0,29.0,2023.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22236690.0,7.0,52.5,24.4,9.0,21.0,2023.0,2.74,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
106730000.0,5.0,94.2,30.4,2.0,3.0,2023.0,3.1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37190220.0,16.0,60.6,32.4,16.0,24.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
36074830.0,7.0,68.3,31.9,11.0,40.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36660947.0,23.0,73.5,36.2,5.0,11.0,2024.0,3.1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23500000.0,17.0,50.5,25.1,3.0,3.0,2023.0,5.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22233103.0,29.0,61.2,21.2,7.0,33.0,2023.0,2.62,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38144962.0,22.0,54.57,29.3,27.0,29.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22567636.0,7.0,52.1,24.4,13.0,21.0,2023.0,2.74,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35235420.0,16.0,59.1,31.3,7.0,24.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34937106.0,25.0,71.19,34.4,4.0,9.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17844459.0,17.0,53.7,26.8,13.0,29.0,2024.0,2.87,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29142119.0,5.0,66.4,25.8,2.0,20.0,2023.0,2.85,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
